时间		损失值	交叉熵	训练精度	验证损失	验证交叉熵	验证精度
 50s   0.9496   0.5815   0.8126   0.4418   0.4418   0.8205
 48s   0.8239   0.5313   0.8187   0.4333   0.4333   0.8275
 48s   0.7990   0.5129   0.8184   0.4609   0.4609   0.8173
 48s   0.7895   0.5075   0.8185   0.4532   0.4532   0.8205
 48s   0.7832   0.5030   0.8186   0.4785   0.4785   0.8165
 48s   0.7757   0.4983   0.8192   0.4449   0.4449   0.8193
 48s   0.7690   0.4937   0.8194   0.4557   0.4557   0.8216
 48s   0.7652   0.4915   0.8199   0.4564   0.4564   0.8232
 48s   0.7586   0.4869   0.8199   0.4875   0.4875   0.8193
 48s   0.7540   0.4842   0.8198   0.4971   0.4971   0.8201
