 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度
 330s , 0.8167 , 0.5270 , 0.8173 , 0.4815 , 0.4815 , 0.8177
 327s , 0.7408 , 0.4761 , 0.8214 , 0.4659 , 0.4659 , 0.8244
 327s , 0.6881 , 0.4367 , 0.8283 , 0.4916 , 0.4916 , 0.8232
 327s , 0.6291 , 0.3947 , 0.8417 , 0.5129 , 0.5129 , 0.8267
 326s , 0.5610 , 0.3487 , 0.8610 , 0.5119 , 0.5119 , 0.8329
 326s , 0.4886 , 0.3010 , 0.8825 , 0.5345 , 0.5345 , 0.8372
 326s , 0.4199 , 0.2570 , 0.9032 , 0.5641 , 0.5641 , 0.8341
 327s , 0.3547 , 0.2171 , 0.9197 , 0.6044 , 0.6044 , 0.8302
 326s , 0.3078 , 0.1865 , 0.9313 , 0.6275 , 0.6275 , 0.8314
 326s , 0.2669 , 0.1611 , 0.9416 , 0.6821 , 0.6821 , 0.8271
