轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 251s , 1.2744 , 0.6149 , 0.7890 , 0.5186 , 0.5186 , 0.8162,esim_char
2, 246s , 0.8131 , 0.5161 , 0.8192 , 0.4510 , 0.4510 , 0.8169,esim_char
3, 247s , 0.7452 , 0.4705 , 0.8204 , 0.4665 , 0.4665 , 0.8173,esim_char
4, 245s , 0.7016 , 0.4404 , 0.8229 , 0.4461 , 0.4461 , 0.8193,esim_char
5, 245s , 0.6677 , 0.4167 , 0.8283 , 0.4398 , 0.4398 , 0.8208,esim_char
6, 245s , 0.6304 , 0.3897 , 0.8337 , 0.4477 , 0.4477 , 0.8275,esim_char
7, 248s , 0.5881 , 0.3608 , 0.8455 , 0.4647 , 0.4647 , 0.8337,esim_char
8, 245s , 0.5369 , 0.3261 , 0.8647 , 0.4671 , 0.4671 , 0.8427,esim_char
9, 249s , 0.4806 , 0.2891 , 0.8831 , 0.4785 , 0.4785 , 0.8470,esim_char
10, 248s , 0.4212 , 0.2514 , 0.9010 , 0.5014 , 0.5014 , 0.8419,esim_char
11, 246s , 0.3665 , 0.2178 , 0.9168 , 0.5447 , 0.5447 , 0.8407,esim_char
12, 245s , 0.3257 , 0.1920 , 0.9272 , 0.5874 , 0.5874 , 0.8400,esim_char
13, 245s , 0.2877 , 0.1692 , 0.9369 , 0.6130 , 0.6130 , 0.8384,esim_char
