时间		损失值	交叉熵	训练精度	验证损失	验证交叉熵	验证精度
 421s   1.3014   0.6447   0.7894   0.5830   0.5830   0.8162
 420s   0.8824   0.5701   0.8172   0.5160   0.5160   0.8162
 419s   0.8135   0.5213   0.8181   0.5257   0.5257   0.8162
 418s   0.7663   0.4892   0.8198   0.4824   0.4824   0.8177
 421s   0.7216   0.4569   0.8221   0.4706   0.4706   0.8177
 418s   0.6774   0.4249   0.8287   0.5083   0.5083   0.8189
 420s   0.6265   0.3899   0.8411   0.4953   0.4953   0.8259
 418s   0.5682   0.3498   0.8591   0.5064   0.5064   0.8376
 418s   0.5115   0.3126   0.8795   0.5439   0.5439   0.8345
 418s   0.4481   0.2719   0.8968   0.5689   0.5689   0.8349
 418s   0.3881   0.2348   0.9126   0.5876   0.5876   0.8322
 421s   0.3433   0.2061   0.9254   0.6213   0.6213   0.8349
 421s   0.2988   0.1791   0.9352   0.6690   0.6690   0.8306
