 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度
 250s , 19.7086 , 0.6488 , 0.8154 , 0.8852 , 0.5587 , 0.8158
 238s , 1.7552 , 0.6217 , 0.8167 , 0.7964 , 0.5600 , 0.8158
 239s , 1.6040 , 0.6070 , 0.8172 , 0.7476 , 0.5526 , 0.8173
 238s , 1.5527 , 0.5988 , 0.8177 , 0.7278 , 0.5396 , 0.8181
 238s , 1.5427 , 0.5928 , 0.8176 , 0.7366 , 0.5496 , 0.8169
 239s , 1.5288 , 0.5893 , 0.8175 , 0.7265 , 0.5448 , 0.8181
 239s , 1.5032 , 0.5838 , 0.8176 , 0.7003 , 0.5259 , 0.8173
 239s , 1.4979 , 0.5804 , 0.8177 , 0.7182 , 0.5374 , 0.8185
 239s , 1.4776 , 0.5789 , 0.8178 , 0.7083 , 0.5399 , 0.8173
 239s , 1.4688 , 0.5755 , 0.8177 , 0.7241 , 0.5603 , 0.8169
 239s , 1.4459 , 0.5721 , 0.8177 , 0.7062 , 0.5478 , 0.8181
 239s , 1.4376 , 0.5699 , 0.8177 , 0.6896 , 0.5354 , 0.8173
 239s , 1.4338 , 0.5692 , 0.8177 , 0.6671 , 0.5124 , 0.8173
 239s , 1.4356 , 0.5675 , 0.8177 , 0.6786 , 0.5260 , 0.8177
 239s , 1.4296 , 0.5651 , 0.8177 , 0.6971 , 0.5445 , 0.8177
 239s , 1.4228 , 0.5638 , 0.8178 , 0.6890 , 0.5387 , 0.8177
 239s , 1.4115 , 0.5610 , 0.8177 , 0.6888 , 0.5403 , 0.8177
 239s , 1.4058 , 0.5616 , 0.8177 , 0.6987 , 0.5506 , 0.8181
 239s , 1.4032 , 0.5592 , 0.8177 , 0.6942 , 0.5475 , 0.8177
 239s , 1.3994 , 0.5564 , 0.8177 , 0.6784 , 0.5324 , 0.8181
 239s , 1.4078 , 0.5583 , 0.8177 , 0.6808 , 0.5302 , 0.8177
