时间		损失值	交叉熵	训练精度	验证损失	验证交叉熵	验证精度
 370s   19.6224   0.6519   0.8156   0.8291   0.5222   0.8119
 367s   1.8195   0.6404   0.8160   0.8689   0.5993   0.8146
 368s   1.7526   0.6370   0.8158   0.8083   0.5559   0.8123
 367s   1.6797   0.6295   0.8162   0.8216   0.6023   0.8162
 367s   1.6446   0.6266   0.8165   0.7808   0.5725   0.8150
 367s   1.6075   0.6169   0.8170   0.7528   0.5560   0.8165
 367s   1.5881   0.6111   0.8171   0.7429   0.5537   0.8138
 368s   1.5731   0.6056   0.8175   0.7407   0.5506   0.8158
 367s   1.5686   0.6044   0.8174   0.7455   0.5537   0.8138
 367s   1.5333   0.5977   0.8176   0.7062   0.5355   0.8169
 367s   1.4957   0.5950   0.8176   0.6894   0.5220   0.8146
 367s   1.5066   0.5933   0.8176   0.7112   0.5373   0.8150
 368s   1.4910   0.5884   0.8176   0.7322   0.5653   0.8162
 368s   1.4857   0.5877   0.8177   0.7056   0.5441   0.8154
 368s   1.4634   0.5841   0.8177   0.6873   0.5248   0.8158
 368s   1.4830   0.5849   0.8177   0.7162   0.5532   0.8158
 368s   1.4651   0.5814   0.8177   0.6839   0.5252   0.8150
 368s   1.4560   0.5786   0.8177   0.6993   0.5444   0.8162
 368s   1.4444   0.5778   0.8177   0.6577   0.5046   0.8154
 368s   1.4454   0.5760   0.8177   0.6738   0.5184   0.8142
 368s   1.4348   0.5730   0.8177   0.6873   0.5310   0.8158
 368s   1.4275   0.5706   0.8177   0.6742   0.5233   0.8162
 368s   1.4328   0.5691   0.8177   0.6652   0.5104   0.8158
 367s   1.4269   0.5682   0.8177   0.6569   0.5071   0.8177
 368s   1.4293   0.5685   0.8177   0.6636   0.5095   0.8169
 367s   1.4162   0.5649   0.8177   0.6757   0.5288   0.8169
 368s   1.4121   0.5634   0.8177   0.6615   0.5133   0.8165
 367s   1.4084   0.5611   0.8177   0.6479   0.5008   0.8181
 368s   1.4068   0.5601   0.8177   0.6508   0.5011   0.8173
 364s   1.3974   0.5573   0.8177   0.6597   0.5126   0.8173
 365s   1.4020   0.5548   0.8177   0.6627   0.5109   0.8154
 367s   1.4134   0.5556   0.8177   0.6740   0.5232   0.8169
 368s   1.4012   0.5537   0.8177   0.6645   0.5197   0.8158
 367s   1.3928   0.5512   0.8177   0.6619   0.5166   0.8158
 367s   1.3937   0.5503   0.8177   0.6582   0.5110   0.8177
 368s   1.3909   0.5490   0.8178   0.6560   0.5109   0.8169
