轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 248s , 0.9591 , 0.5997 , 0.8138 , 0.4960 , 0.4960 , 0.8173,decom_word
2, 247s , 0.8379 , 0.5427 , 0.8181 , 0.5152 , 0.5152 , 0.8162,decom_word
3, 247s , 0.7956 , 0.5112 , 0.8184 , 0.4946 , 0.4946 , 0.8189,decom_word
4, 247s , 0.7656 , 0.4897 , 0.8193 , 0.5042 , 0.5042 , 0.8205,decom_word
5, 248s , 0.7442 , 0.4743 , 0.8213 , 0.5387 , 0.5387 , 0.8173,decom_word
6, 248s , 0.7217 , 0.4585 , 0.8238 , 0.5517 , 0.5517 , 0.8224,decom_word
7, 248s , 0.7054 , 0.4466 , 0.8252 , 0.5440 , 0.5440 , 0.8205,decom_word
8, 248s , 0.6884 , 0.4348 , 0.8293 , 0.5372 , 0.5372 , 0.8189,decom_word
9, 248s , 0.6733 , 0.4242 , 0.8316 , 0.5479 , 0.5479 , 0.8212,decom_word
10, 248s , 0.6596 , 0.4151 , 0.8354 , 0.5648 , 0.5648 , 0.8201,decom_word
11, 248s , 0.6425 , 0.4032 , 0.8399 , 0.5773 , 0.5773 , 0.8189,decom_word
