 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度
 250s , 1.2591 , 0.6110 , 0.7898 , 0.5308 , 0.5308 , 0.8162
 245s , 0.8097 , 0.5126 , 0.8188 , 0.4488 , 0.4488 , 0.8169
 247s , 0.7364 , 0.4635 , 0.8205 , 0.4353 , 0.4353 , 0.8165
 246s , 0.6877 , 0.4302 , 0.8246 , 0.4183 , 0.4183 , 0.8236
 243s , 0.6504 , 0.4033 , 0.8293 , 0.4442 , 0.4442 , 0.8251
 243s , 0.6100 , 0.3754 , 0.8391 , 0.4238 , 0.4238 , 0.8341
 243s , 0.5606 , 0.3410 , 0.8539 , 0.4369 , 0.4369 , 0.8380
 244s , 0.5102 , 0.3085 , 0.8725 , 0.4546 , 0.4546 , 0.8411
 243s , 0.4541 , 0.2716 , 0.8898 , 0.4695 , 0.4695 , 0.8454
 243s , 0.3945 , 0.2341 , 0.9091 , 0.5048 , 0.5048 , 0.8443
 243s , 0.3477 , 0.2065 , 0.9207 , 0.5375 , 0.5375 , 0.8388
 243s , 0.3086 , 0.1827 , 0.9313 , 0.5549 , 0.5549 , 0.8415
