轮次, 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度,类型
1, 244s , 19.4874 , 0.6637 , 0.8119 , 0.9178 , 0.5900 , 0.8119,siamese_char
2, 239s , 1.7593 , 0.6399 , 0.8146 , 0.7680 , 0.5600 , 0.8134,siamese_char
3, 238s , 1.6525 , 0.6181 , 0.8164 , 0.7857 , 0.5651 , 0.8146,siamese_char
4, 239s , 1.6369 , 0.6083 , 0.8165 , 0.7372 , 0.5349 , 0.8193,siamese_char
5, 239s , 1.5862 , 0.5949 , 0.8173 , 0.7553 , 0.5595 , 0.8154,siamese_char
6, 239s , 1.5256 , 0.5858 , 0.8176 , 0.7145 , 0.5453 , 0.8169,siamese_char
7, 239s , 1.4903 , 0.5770 , 0.8176 , 0.6986 , 0.5284 , 0.8189,siamese_char
8, 239s , 1.4678 , 0.5700 , 0.8175 , 0.6838 , 0.5335 , 0.8185,siamese_char
9, 238s , 1.4479 , 0.5632 , 0.8178 , 0.6902 , 0.5378 , 0.8177,siamese_char
10, 239s , 1.4229 , 0.5596 , 0.8180 , 0.7061 , 0.5606 , 0.8165,siamese_char
11, 238s , 1.4226 , 0.5559 , 0.8177 , 0.6960 , 0.5493 , 0.8177,siamese_char
12, 239s , 1.3991 , 0.5515 , 0.8179 , 0.6707 , 0.5339 , 0.8181,siamese_char
13, 237s , 1.3938 , 0.5489 , 0.8178 , 0.6460 , 0.5082 , 0.8177,siamese_char
14, 238s , 1.3747 , 0.5449 , 0.8181 , 0.6518 , 0.5173 , 0.8189,siamese_char
15, 237s , 1.3754 , 0.5439 , 0.8181 , 0.6687 , 0.5384 , 0.8169,siamese_char
16, 238s , 1.3646 , 0.5425 , 0.8182 , 0.6628 , 0.5311 , 0.8177,siamese_char
17, 238s , 1.3609 , 0.5399 , 0.8183 , 0.6692 , 0.5411 , 0.8177,siamese_char
18, 237s , 1.3544 , 0.5386 , 0.8181 , 0.6767 , 0.5467 , 0.8181,siamese_char
19, 238s , 1.3482 , 0.5372 , 0.8185 , 0.6610 , 0.5345 , 0.8181,siamese_char
20, 238s , 1.3456 , 0.5351 , 0.8184 , 0.6656 , 0.5389 , 0.8173,siamese_char
21, 237s , 1.3495 , 0.5339 , 0.8184 , 0.6510 , 0.5258 , 0.8169,siamese_char
