 时间 , 损失值 , 交叉熵 , 训练精度 ,验证损失,验证交叉熵,验证精度
 363s , 19.4737 , 0.6685 , 0.8121 , 0.8613 , 0.5416 , 0.8134
 360s , 1.8627 , 0.6602 , 0.8129 , 0.8261 , 0.5727 , 0.8060
 360s , 1.7596 , 0.6501 , 0.8132 , 0.7979 , 0.5512 , 0.8126
 360s , 1.7334 , 0.6435 , 0.8129 , 0.8178 , 0.5928 , 0.8119
 360s , 1.6837 , 0.6352 , 0.8140 , 0.8065 , 0.5959 , 0.8126
 360s , 1.6628 , 0.6316 , 0.8141 , 0.7653 , 0.5763 , 0.8103
 360s , 1.6110 , 0.6129 , 0.8154 , 0.7713 , 0.5636 , 0.8146
 360s , 1.6024 , 0.5999 , 0.8165 , 0.7428 , 0.5550 , 0.8185
 360s , 1.5648 , 0.5942 , 0.8169 , 0.7384 , 0.5644 , 0.8154
 360s , 1.5485 , 0.5894 , 0.8167 , 0.7185 , 0.5519 , 0.8165
 360s , 1.5185 , 0.5822 , 0.8169 , 0.6986 , 0.5305 , 0.8189
 361s , 1.4983 , 0.5757 , 0.8175 , 0.7232 , 0.5610 , 0.8169
 361s , 1.4864 , 0.5728 , 0.8167 , 0.7256 , 0.5773 , 0.8177
 361s , 1.4676 , 0.5667 , 0.8174 , 0.7056 , 0.5529 , 0.8185
 361s , 1.4582 , 0.5617 , 0.8174 , 0.7234 , 0.5631 , 0.8162
 360s , 1.4474 , 0.5576 , 0.8176 , 0.7182 , 0.5716 , 0.8165
 360s , 1.4340 , 0.5512 , 0.8178 , 0.7073 , 0.5560 , 0.8173
 361s , 1.4368 , 0.5483 , 0.8182 , 0.7071 , 0.5602 , 0.8150
 361s , 1.4133 , 0.5425 , 0.8183 , 0.6871 , 0.5405 , 0.8162
 361s , 1.3996 , 0.5385 , 0.8183 , 0.6907 , 0.5470 , 0.8162
 361s , 1.3943 , 0.5365 , 0.8184 , 0.6932 , 0.5526 , 0.8177
 360s , 1.3845 , 0.5322 , 0.8183 , 0.7005 , 0.5592 , 0.8165
 360s , 1.3835 , 0.5308 , 0.8184 , 0.6802 , 0.5378 , 0.8162
 361s , 1.3699 , 0.5267 , 0.8184 , 0.6832 , 0.5410 , 0.8177
 360s , 1.3652 , 0.5257 , 0.8186 , 0.6747 , 0.5371 , 0.8162
 360s , 1.3563 , 0.5214 , 0.8187 , 0.6956 , 0.5606 , 0.8162
 361s , 1.3555 , 0.5211 , 0.8187 , 0.6834 , 0.5460 , 0.8181
 360s , 1.3442 , 0.5177 , 0.8190 , 0.6724 , 0.5363 , 0.8185
 360s , 1.3419 , 0.5169 , 0.8189 , 0.6574 , 0.5226 , 0.8154
 360s , 1.3355 , 0.5142 , 0.8188 , 0.6957 , 0.5610 , 0.8173
 360s , 1.3330 , 0.5125 , 0.8191 , 0.6815 , 0.5472 , 0.8173
 360s , 1.3285 , 0.5109 , 0.8191 , 0.6914 , 0.5563 , 0.8169
 359s , 1.3237 , 0.5086 , 0.8192 , 0.7102 , 0.5762 , 0.8158
 360s , 1.3172 , 0.5068 , 0.8191 , 0.6878 , 0.5572 , 0.8165
 360s , 1.3154 , 0.5064 , 0.8193 , 0.6998 , 0.5689 , 0.8169
 360s , 1.3113 , 0.5045 , 0.8195 , 0.6796 , 0.5519 , 0.8169
 360s , 1.3064 , 0.5026 , 0.8195 , 0.6742 , 0.5441 , 0.8181
